Nome;Número de Mensagens;Stickers;Imagens;Áudios
Toy;2290;95;138;4
Palavra;Frequência
nada,;2
sério;2
chaves;2
vadia;2
compro;2
grana;2
alguém;2
live?;2
sozinho;2
tirando;2
mole;2
8;2
bau;2
procurei;1
google;1
dele,;1
aparentemente;1
zé,;1
cima;1
pool-i;1
todas;1
perguntas;1
quase;1
comparar;1
linguagem;1
java;1
tenso;1
"decorar";1
fita;1
tirou;1
vivo;1
bin;1
consertar;1
trilha;1
ate;1
professora;1
respeito;1
jao;1
titã;1
acordo;1
6:40;1
teoria;1
botar;1
notoba;1
sera;1
extinto;1
pds???;1
pds?;1
agora?;1
logo;1
romântica;1
trocou;1
presta.;1
caio;1
perguntando;1
perguntou;1
tanto;1
soltar;1
barro;1
menti;1
vagar;1
sangue;1
larissa~;1
lanterna;1
delay;1
melhor;1
expectativa;1
chegando;1
carlos;1
apagar;1
fundo;1
salvou;1
vaj;1
função;1
cedo;1
vc,;1
henrique;1
pensar.;1
virei;1
vegano;1
tb,;1
full;1
carnivoro;1
grama;1
abençoe;1
carol;1
impede?;1
pais;1
conhecem;1
potencial;1
gemido;1
ligo;1
moralzinha;1
faça;1
creepy;1
recentemente?;1
distanciar;1
recentemente,;1
manter;1
jogada;1
diferenciado;1
estranha;1
carina?;1
pdoe;1
açaí;1
léo,;1
this;1
shopping;1
umas;1
par;1
toparia;1
está;1
solicitando;1
fechado;1
1/2;1
ajudo;1
elas;1
adquiro;1
câncer;1
kk;1
sugerir;1
pergunta!!;1
uber!;1
longe;1
localiza;1
legal;1
louca;1
cena;1
dirigindo;1
metal;1
irlandês;1
aventura;1
aproveita;1
fundo...;1
estofado;1
la,;1
bin?;1
desconfortavel;1
aniversário;1
criança;1
muçar?;1
descobriu;1
entendo;1
sigla;1
ecad;1
200;1
dura;1
asim,;1
senão;1
odiado;1
perder;1
poucos;1
tem";1
notoba,;1
roda;1
ex;1
alunos;1
goodguy,;1
perturba;1
pessoas,;1
festejar;1
chama;1
ui;1
ux?;1
lembra;1
sobrenome/;;1
retrato;1
chique;1
separei;1
briga;1
gigante;1
dançando;1
pegava;1
miguel;1
vídeo;1
subi;1
palco;1
assim:;1
🙃;1
olhando;1
fixo;1
transcendeu;1
video;1
exis...;1
linda;1
apenas;1
dj;1
atropelamos;1
cirrose;1
2.0*;1
forças;1
cadeira;1
sala;1
levanto;1
complica;1
vier;1
sotaque;1
marcando;1
frango;1
aula?;1
vazar;1
sábado;1
alcanç;1
bullet;1
theater;1
neutral;1
good;1
ahauahuahauahauahuahauahaiahahiaaha;1
existência;1
peludo?;1
giovanni;1
dormiu;1
aputa;1
cairia;1
hoje?;1
minua;1
feira;1
deveria;1
liberado;1
interessa;1
ibope;1
pagina;1
ajudem;1
denunciar;1
página;1
pique;1
fome;1
soluções;1
hauhauahauah;1
legal,;1
talvez;1
chame;1
soviético;1
gay*;1
boiando;1
volume;1
conseguia;1
ouviu;1
uga;1
fudido;1
ração;1
virou;1
ademir;1
andando;1
pela;1
feia;1
corte;1
verba;1
combina;1
fuderam;1
controle;1
fechada;1
autorização;1
argumentos;1
yakult,;1
felicidades;1
🤙🤙🤙🤙;1
dizer;1
vá;1
par?;1
come;1
mc,;1
dó;1
salvar;1
irmãos;1
berti;1
ok;1
esculpido;1
pinto,;1
pincel;1
obra;1
arte;1
ouro;1
iguatemi,;1
coloquei;1
nanoprotecao;1
carinha;1
120;1
conto;1
época;1
vidro;1
usando;1
película;1
vejo;1
mando;1
zoada;1
entendi,;1
eh;1
conversa;1
contexto;1
ngm;1
cool;1
casa??;1
carro?;1
beleza;1
rg;1
documento;1
exclusiva;1
passagem;1
carai;1
rodando;1
horário,;1
büro;1
espaço;1
app;1
fud;1
•;1
35;1
pages;1
document;1
impede;1
facul??;1
paradeiro;1
natham?;1
conectado;1
rede?;1
precisa,;1
funcionar;1
direito,;1
cheio;1
cerveja;1
sac;1
jogar;1
linxus;1
oka?;1
soltou;1
rindo;1
disso;1
buahauahauahjahsushsdhushs;1
salvei;1
número;1
hauahauau;1
bonde;1
chamada?;1
professor;1
economia;1
chamada??;1
pago;1
cama;1
rsrs;1
manhã;1
participar;1
esquadrão;1
moda;1
escovar;1
dentinhos;1
ponto?;1
trânsito;1
molha;1
gosta;1
relação;1
tiver;1
deus??????;1
compartilhado;1
adolescentes;1
ator;1
garantida;1
sensacional;1
deixei;1
favoritos;1
propósito;1
intimado;1
vazio;1
dirt;1
tetudo;1
visão;1
privada;1
pera;1
indicação?;1
socorro;1
teria;1
consultado;1
clínico;1
geral;1
clínica;1
panunzio;1
emergência;1
consultório;1
aceita;1
dinheiros;1
carteirinhas;1
missão;1
katti,;1
contato;1
visual;1
primo;1
eubquero;1
rodovia,;1
fora;1
frio;1
ventinho;1
gelado;1
oscilando;1
vaga;1
rosto;1
sorriso;1
encantador;1
salgado;1
troco;1
unimed;1
levar?;1
13:00;1
12:58;1
disney;1
iphone;1
x;1
disfarça;1
feita;1
incoerente;1
prototipacao,;1
yakult;1
cagada;1
real;1
filha;1
dado;1
😍😍😍😍;1
premium;1
18+;1
pintada;1
&;1
digitar;1
dois;1
peitao;1
boca;1
peru;1
existe;1
?;1
(ambos;1
solteiros)*;1
daí?;1
continua;1
problema?;1
acho,;1
opinião;1
jogo;1
enquete;1
ambos;1
