Nome;Número de Mensagens;Stickers;Imagens;Áudios
M;3502;26;137;13
P;6188;726;359;64
S;123;2;8;0
B;3025;644;148;0
L;4338;139;74;78
C;6884;1517;354;22
Y;2100;229;176;13
E;6651;222;281;77
C;6075;296;176;17
A;2404;91;94;4
D;1159;29;27;8
+;1771;34;19;2
L;1210;48;38;1
+;2132;150;48;15
+;2889;122;191;26
P;948;10;72;1
+;1;0;0;0
T;2176;79;127;4
N;3805;139;198;31
+;1541;146;75;3
V;4049;260;194;16
+;250;13;26;5
N;2;0;0;0
+;582;4;25;0
+;261;5;3;0
M;2;0;0;0
+;34;0;3;1
